equipment_id,equipment_type,site_id,commissioning_date,criticality,manufacturer,rated_power_kw
EQ-ROBOT-275,robot,SITE-EST,2011-02-04,medium,MecaNova,48.4
EQ-ROBOT-278,robot,SITE-SUD,2023-01-17,medium,Thermis,23.9
EQ-ROBOT-295,robot,SITE-NORD,2006-09-20,low,Thermis,19.7
EQ-ROBOT-298,robot,SITE-NORD,2013-05-23,medium,MecaNova,24.9
EQ-ROBOT-315,robot,SITE-NORD,2023-07-06,medium,Valcor,22.9
EQ-ROBOT-318,robot,SITE-EST,2019-07-27,medium,Rotatek,26.5
EQ-ROBOT-335,robot,SITE-EST,2007-08-06,high,Valcor,35.3
EQ-ROBOT-338,robot,SITE-EST,2020-07-15,medium,Thermis,27.1
EQ-ROBOT-346,robot,SITE-NORD,2024-05-24,medium,Valcor,23.9
EQ-ROBOT-355,robot,SITE-SUD,2021-09-15,medium,MecaNova,46.9
EQ-ROBOT-357,robot,SITE-EST,2012-03-26,critical,Valcor,38.4
EQ-ROBOT-358,robot,SITE-SUD,2012-01-09,high,Aster Industrie,31.0
EQ-ROBOT-368,robot,SITE-EST,2012-07-15,high,Thermis,9.1
EQ-ROBOT-375,robot,SITE-EST,2016-04-26,low,MecaNova,23.9
EQ-ROBOT-378,robot,SITE-SUD,2009-09-24,critical,Valcor,40.1
EQ-ROBOT-379,robot,SITE-NORD,2017-11-03,high,Valcor,37.6
EQ-ROBOT-390,robot,SITE-NORD,2013-04-22,medium,Rotatek,31.5
EQ-ROBOT-395,robot,SITE-NORD,2014-04-22,medium,Aster Industrie,29.8
EQ-ROBOT-398,robot,SITE-SUD,2009-09-28,high,Valcor,26.9
EQ-SENSOR-105,sensor,SITE-SUD,2010-05-11,high,Rotatek,86.4
EQ-SENSOR-125,sensor,SITE-NORD,2011-01-05,medium,MecaNova,77.2
EQ-SENSOR-145,sensor,SITE-NORD,2011-10-18,critical,MecaNova,68.7
EQ-SENSOR-165,sensor,SITE-NORD,2007-03-06,medium,Aster Industrie,66.6
EQ-SENSOR-185,sensor,SITE-NORD,2015-05-14,critical,Aster Industrie,66.8
EQ-SENSOR-205,sensor,SITE-SUD,2023-12-21,medium,Valcor,87.7
EQ-SENSOR-225,sensor,SITE-SUD,2020-09-05,medium,MecaNova,57.2
EQ-SENSOR-245,sensor,SITE-NORD,2008-12-24,low,Valcor,24.4
EQ-SENSOR-265,sensor,SITE-NORD,2016-12-07,medium,Rotatek,55.5
EQ-SENSOR-285,sensor,SITE-EST,2014-09-03,high,Thermis,54.3
EQ-SENSOR-305,sensor,SITE-NORD,2014-03-27,medium,Thermis,71.6
EQ-SENSOR-325,sensor,SITE-EST,2009-11-01,medium,MecaNova,71.8
EQ-SENSOR-345,sensor,SITE-SUD,2013-07-17,medium,Thermis,98.3
EQ-SENSOR-365,sensor,SITE-SUD,2007-09-22,low,Aster Industrie,47.6
EQ-SENSOR-385,sensor,SITE-SUD,2015-08-09,low,MecaNova,54.3
EQ-STEAM-341,steam_unit,SITE-SUD,2021-03-09,high,Thermis,46.5
EQ-STEAM-352,steam_unit,SITE-EST,2023-09-02,medium,MecaNova,56.9
EQ-STEAM-363,steam_unit,SITE-SUD,2013-09-13,medium,Rotatek,71.0
EQ-STEAM-374,steam_unit,SITE-SUD,2014-01-09,high,Aster Industrie,58.2
EQ-STEAM-385,steam_unit,SITE-NORD,2013-03-18,medium,Rotatek,48.5
EQ-VALVE-110,valve,SITE-NORD,2021-08-06,high,Thermis,80.6
EQ-VALVE-156,valve,SITE-NORD,2020-07-20,high,Rotatek,71.3
EQ-VALVE-167,valve,SITE-NORD,2011-04-04,low,Valcor,53.3
EQ-VALVE-178,valve,SITE-EST,2008-06-19,medium,Rotatek,70.1
EQ-VALVE-189,valve,SITE-EST,2015-05-22,medium,Aster Industrie,60.5
EQ-VALVE-200,valve,SITE-NORD,2023-02-11,low,Valcor,57.7
EQ-VALVE-316,valve,SITE-SUD,2010-01-10,high,Thermis,45.3
EQ-VALVE-327,valve,SITE-SUD,2015-07-08,high,Thermis,50.4
EQ-VALVE-338,valve,SITE-NORD,2012-02-04,medium,Thermis,63.8
EQ-VALVE-349,valve,SITE-NORD,2022-11-20,medium,Thermis,50.9
EQ-VALVE-360,valve,SITE-NORD,2011-03-16,critical,Valcor,83.9
EQ-VALVE-366,valve,SITE-SUD,2013-04-25,low,Valcor,79.4
EQ-VALVE-377,valve,SITE-SUD,2010-12-20,high,Valcor,80.7
EQ-VALVE-388,valve,SITE-SUD,2010-11-27,high,Rotatek,51.3
EQ-VALVE-399,valve,SITE-SUD,2010-01-14,low,Valcor,47.4
EQ-EXTRA-401,robot,SITE-SUD,2014-06-17,medium,Aster Industrie,35.6
EQ-EXTRA-402,chiller,SITE-SUD,2017-02-24,medium,MecaNova,57.4
EQ-EXTRA-403,motor,SITE-SUD,2016-03-16,high,MecaNova,59.4
EQ-EXTRA-404,valve,SITE-SUD,2016-03-03,high,Thermis,65.3
EQ-EXTRA-405,dryer,SITE-EST,2008-04-07,medium,Rotatek,58.8
EQ-EXTRA-406,robot,SITE-EST,2020-10-08,medium,MecaNova,52.1
EQ-EXTRA-407,gearbox,SITE-NORD,2014-01-15,medium,MecaNova,56.4
EQ-EXTRA-408,dryer,SITE-NORD,2010-04-07,critical,Rotatek,40.1
EQ-EXTRA-409,packaging_machine,SITE-OUEST,2015-06-16,low,Valcor,34.0
EQ-EXTRA-410,oven,SITE-EST,2022-07-05,low,MecaNova,253.5
EQ-EXTRA-411,electrical_cabinet,SITE-EST,2017-02-16,medium,Valcor,44.4
EQ-EXTRA-412,valve,SITE-NORD,2011-12-26,high,Thermis,44.2
EQ-EXTRA-413,electrical_cabinet,SITE-SUD,2008-02-23,high,Aster Industrie,71.5
EQ-EXTRA-414,oven,SITE-SUD,2015-05-24,medium,Valcor,262.4
EQ-EXTRA-415,electrical_cabinet,SITE-EST,2024-09-05,low,MecaNova,61.3
EQ-EXTRA-416,press,SITE-SUD,2022-04-16,high,Rotatek,75.2
EQ-EXTRA-417,motor,SITE-SUD,2015-09-22,medium,Aster Industrie,67.6
EQ-EXTRA-418,oven,SITE-NORD,2020-06-18,high,Valcor,144.4
EQ-EXTRA-419,valve,SITE-SUD,2020-08-30,high,Rotatek,59.0
EQ-EXTRA-420,dryer,SITE-SUD,2010-07-10,low,Rotatek,53.8
EQ-EXTRA-421,compressor,SITE-EST,2010-10-07,high,MecaNova,127.2
EQ-EXTRA-422,valve,SITE-NORD,2009-03-05,medium,Aster Industrie,58.8
EQ-EXTRA-423,valve,SITE-SUD,2014-08-28,low,Rotatek,73.0
EQ-EXTRA-424,sensor,SITE-NORD,2022-06-03,low,Rotatek,68.0
EQ-EXTRA-425,gearbox,SITE-EST,2010-09-04,high,Thermis,78.8
EQ-EXTRA-426,valve,SITE-EST,2023-02-25,low,Aster Industrie,61.6
EQ-EXTRA-427,gearbox,SITE-NORD,2016-09-11,high,Thermis,68.9
EQ-EXTRA-428,packaging_machine,SITE-NORD,2016-01-23,low,Aster Industrie,70.0
